id,name,active
151,anim_reacttocliff_stuckrightside_03,1
152,anim_onboarding_wakeword_getout_02,1
153,anim_reacttocliff_stuckonedge_getin_01,1
154,anim_rtshake_lv2pregetout_01,1
155,anim_reacttocliff_pickup_05,1
156,anim_slowpoke_getout_02,1
157,anim_reacttocliff_pickup_06,1
158,anim_volume_stage_05,1
159,anim_rtsound_offcharger_asleep_behind_left_01,1
160,anim_chargerdocking_comeoff_straight_01,1
161,anim_rtsound_offcharger_asleep_150right_01,1
162,anim_lookinplaceforfaces_keepalive_long_03_head_angle_20,1
163,anim_chargerdocking_comeoff_straight_02,1
164,anim_dancebeat_pivot_right_01,1
165,anim_explorer_idle_01_head_angle_30,1
166,anim_rtsound_oncharger_asleep_front_01,1
167,anim_rtsound_offcharger_observe_front_01,1
168,anim_chargerdocking_rightturn_01,1
169,anim_keepaway_idle_side_02,1
170,anim_onboarding_wakeup_01,1
171,anim_keepaway_driving_loop_02,1
172,anim_onboarding_wakeword_loop_02,1
173,anim_snowglobe_getin_01,1
174,anim_blackjack_victorbjackwin_01,1
175,anim_freeplay_reacttoface_sayname_03_head_angle_40,1
176,anim_rtp_blackjack_idle_01,1
177,anim_blackjack_victorlose_01,1
178,anim_meetvictor_lookface_loop_02,1
179,anim_feedback_shutup_01,1
180,anim_reacttocliff_faceplantroll_armup_02,1
181,anim_inspectheldcube_getin_01,1
182,anim_rtsound_offcharger_asleep_ambient_01,1
183,anim_qa_sync_lift,1
184,anim_rtsound_oncharger_observe_120right_01,1
185,playpenFailAnim,1
186,anim_eyecontact_squint_01_head_angle_40,1
187,anim_keepaway_pounce_quick_01,1
188,anim_heldonpalm_getin_relaxed_01,1
189,anim_cubeconnection_connectionlost_01,1
190,anim_fistbump_success_01,1
191,anim_fistbump_success_03,1
192,anim_feedback_goodrobot_02,1
193,anim_onboarding_cube_drive_getin_01,1
194,anim_dancebeat_getin_01,1
195,anim_movement_comehere_greeting_02,1
196,anim_timerleft_getout_01,1
197,anim_qa_sync_5sec,1
198,anim_pounce_success_03,1
199,anim_movement_alreadyhere_01_head_angle_40,1
200,anim_meetvictor_alreadyknowbob_01,1
201,anim_chargerdocking_searchforchargerturns_default_getout,1
202,anim_referencing_smile_01,1
203,anim_reacttoface_unidentified_01_head_angle_40,1
204,anim_eyecontact_lookloop_02_head_angle_20,1
205,anim_lookinplaceforfaces_keepalive_short,1
206,anim_chargerdocking_searchforchargerturns_default_03,1
207,anim_onboarding_lookdown_lookaround_loop_01,1
208,anim_pounce_success_01,1
209,anim_rtshake_lv3loop_01,1
210,anim_nowifi_signal_01,1
211,anim_feedback_badrobot_02,1
212,anim_communication_cantdothat_04,1
213,anim_rtsound_oncharger_asleep_150left_01,1
214,anim_gotosleep_wakeup_01,1
215,anim_message_announce_toplayer_01,1
216,anim_chargerdocking_searchforchargerturns_default_loop_01,1
217,anim_movement_comehere_01,1
218,anim_rtsound_offcharger_asleep_150left_01,1
219,anim_knowledgegraph_fail_getout_01,1
220,anim_reacttoblock_focusedeyes_01,1
221,anim_fistbump_requestonce_01,1
222,anim_pause_idle_01,1
223,anim_reacttocliff_reaction_front_right_01,1
224,anim_rtsound_oncharger_asleep_150right_01,1
225,anim_chargerdocking_searchforchargerturns_03,1
226,anim_movement_alreadyhere_01,1
227,anim_wakeword_loop_01,1
228,anim_greeting_goodmorning_02,1
